# x y z horizontalRadius verticalRadius
-128.194 126.629 0.238272 0.927376 1.39106
62.5324 114.094 0.445755 0.561554 0.842331
193.672 110.925 0 2.09431 3.14147
212.986 112.738 0 2.03882 3.05823
-224.534 114.756 2.81372 1.62401 2.43602
-123.55 114.876 0 5.12161 7.68241
-180.435 116 1.06228 5.32737 7.99106
-81.704 113.389 0.463038 0.414736 0.622103
112.136 113.553 0 4.01387 6.02081
349.614 113.665 0 3.89056 5.83584
188.918 114.439 0.643436 2.8883 4.33245
289.395 115.125 1.18809 2.85335 4.28002
28.3843 115.307 0 6.57719 9.86578
-87.4394 117.676 0.934263 2.6556 3.9834
-227.421 118.378 2.34245 2.37041 3.55562
73.7889 118.412 0.893956 3.978 5.967
-197.125 118.938 0.159569 3.9527 5.92905
163.206 119.812 0.614901 4.63379 6.95068
-46.1461 120.124 1.77997 2.03882 3.05823
94.2907 120.62 0.451702 5.20213 7.8032
-132.454 121.877 0.359313 0.478895 0.718342
213.012 122.302 0.898115 4.89552 7.34327
-165.03 123.013 0.589068 5.05683 7.58524
132.816 124.437 1.08964 3.4823 5.22344
295.904 124.992 0.553957 3.3222 4.9833
240.98 124.26 1.17576 3.65108 5.47663
233.235 97.954 0 0.610474 0.915711
-201.982 100.518 0.42283 1.79186 2.68779
-78.1707 92.597 1.049 3.43672 5.15508
-109.022 95.094 0.30882 4.60275 6.90413
330.973 96.068 0.594689 0.942706 1.41406
45.2788 98.515 0.890696 5.82601 8.73902
239.395 99.063 0.418327 3.51507 5.2726
338.86 100.236 0 6.2095 9.31424
-151.297 101.003 2.42481 4.6183 6.92745
-182.958 100.804 0.760793 5.85791 8.78687
305.975 90.659 0.787693 5.39953 8.09929
-70.1507 101.512 0.0119026 1.1358 1.7037
-198.656 103.106 0 1.8157 2.72355
98.8582 101.423 1.87809 4.90137 7.35205
-8.9003 101.339 0 5.53067 8.296
74.373 102.01 1.54504 4.45076 6.67614
-83.8625 102.085 0 3.6979 5.54684
17.6754 102.358 0 6.03151 9.04727
-202.894 107.404 1.14511 2.53408 3.80111
-163.731 107.049 1.10188 3.82367 5.73551
